name,team,Nationality,Height,Born,pic_link
MIKE JAMES,AS Monaco,United States of America,185,18 Aug 1990,https://media-cdn.incrowdsports.com/e5a67150-f351-4c9c-90cd-2a8767588275.png
OGNJEN JARAMAZ,FC Bayern Munich,Serbia,193,1 Sep 1995,https://media-cdn.incrowdsports.com/1eb2ee38-f4cb-4f24-b048-bdcd529fa4c5.png
TONYE JEKIRI,Fenerbahce Beko Istanbul,Nigeria,212,23 Jul 1994,https://media-cdn.incrowdsports.com/08af8670-c95d-408c-aa3b-ce8ed0ea959f.png
MILLAN JIMENEZ,Valencia Basket,Spain,198,16 Sep 2002,https://media-cdn.incrowdsports.com/440337a4-2cf1-4ab3-a019-a27c0219b9f0.png
ROKAS JOKUBAITIS,FC Barcelona,Lithuania,193,19 Nov 2000,https://media-cdn.incrowdsports.com/ada7523c-32e4-48c7-801c-2ad05de97957.png
CHRIS JONES,Valencia Basket,Armenia,188,10 Apr 1993,https://media-cdn.incrowdsports.com/b71ab278-55fb-4209-8dc3-dbe8368f5139.png
CHARLES KAHUDI,LDLC ASVEL Villeurbanne,France,196,19 Jul 1986,https://media-cdn.incrowdsports.com/8848747e-6fa6-482d-9800-b669cf50f358.png
GEORGIOS KALAITZAKIS,Panathinaikos Athens,Greece,201,2 Jan 1999,https://media-cdn.incrowdsports.com/4f798921-c3d2-4c9f-aa61-29b8182f7f8a.png
PANAGIOTIS KALAITZAKIS,Panathinaikos Athens,Greece,200,2 Jan 1999,https://media-cdn.incrowdsports.com/00ad2c3b-dc73-4da7-bc3c-299973409fa4.png
NIKOLA KALINIC,FC Barcelona,Serbia,202,8 Nov 1991,https://media-cdn.incrowdsports.com/3481ab72-c161-4a02-9bf4-236a01ee98e4.png
BALSA KOPRIVICA,Partizan Mozzart Bet Belgrade,Serbia,215,1 May 2000,https://media-cdn.incrowdsports.com/cc46336f-5b4d-4515-a4c7-b38d0b9528df.png
MAIK KOTSAR,Cazoo Baskonia Vitoria-Gasteiz,Estonia,209,22 Dec 1996,https://media-cdn.incrowdsports.com/5cf4bd48-8b89-45f0-a9e1-097147e526ae.png
