Position,Club,GP,Won,Lost,Win%,PTS+,PTS-,+/-,H,A,OT,L10
1,Olympiacos Piraeus *,33,23,10,69.7%,2771,2500,+271,13-3,10-7,0-0,7-3
2,Real Madrid *,33,23,10,69.7%,2791,2580,+211,13-4,10-6,1-1,7-3
3,FC Barcelona *,33,22,11,66.7%,2638,2509,+129,12-4,10-7,1-1,7-3
4,AS Monaco *,33,21,12,63.6%,2730,2662,+68,13-4,8-8,2-1,7-3
5,Fenerbahce Beko Istanbul ,33,19,14,57.6%,2744,2666,+78,12-5,7-9,2-0,5-5
6,Partizan Mozzart Bet Belgrade *,33,19,14,57.6%,2794,2700,+94,11-5,8-9,0-2,7-3
7,Maccabi Playtika Tel Aviv *,33,19,14,57.6%,2741,2657,+84,14-2,5-12,0-0,7-3
8,Cazoo Baskonia Vitoria-Gasteiz ,33,18,15,54.5%,2841,2750,+91,14-3,4-12,2-0,5-5
9,Zalgiris Kaunas ,33,18,15,54.5%,2508,2546,-38,13-4,5-11,0-0,6-4
10,Crvena Zvezda Meridianbet Belgrade ,33,16,17,48.5%,2512,2534,-22,10-6,6-11,1-1,6-4
11,Anadolu Efes Istanbul ,33,16,17,48.5%,2713,2664,+49,10-6,6-11,0-2,5-5
12,EA7 Emporio Armani Milan ,33,15,18,45.5%,2450,2522,-72,9-8,6-10,0-2,7-3
13,Valencia Basket ,33,15,18,45.5%,2685,2806,-121,9-8,6-10,2-0,3-7
14,Virtus Segafredo Bologna ,33,13,20,39.4%,2555,2717,-162,8-8,5-12,0-1,2-8
15,FC Bayern Munich ,33,11,22,33.3%,2525,2656,-131,8-8,3-14,0-0,2-8
16,Panathinaikos Athens ,33,11,22,33.3%,2568,2690,-122,8-9,3-13,2-2,3-7
17,ALBA Berlin ,33,10,23,30.3%,2616,2780,-164,5-11,5-12,1-1,4-6
18,LDLC ASVEL Villeurbanne ,33,8,25,24.2%,2456,2699,-243,4-13,4-12,0-0,0-10
